Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
High income: OECD,OEC,1013020591220.97,1070419768685.77,1157673501535.21,1246458376527.8,1361012439311.74,1478262704536.75,1621727435970.05,1739851248918.18,1883716478113.05,2066047070659.33,2242531723744.08,2488999679719.56,2893972215611.53,3504049302749.06,3917096580404.46,4399151759522.08,4772767309448.53,5396490700238.08,6493012614326.76,7461278265748.26,8254721705420.99,8342839549500.52,8295124120618.3,8601439262314.49,8983602988734.29,9461761057742.98,11567589260478.4,13372826459960.4,15058002092970.5,15719607702445.9,17629476667913.1,18606013031606.5,19952621408508.5,20091857906304.9,21529078264064.5,23820095412574.6,23916490847515.7,23472237984167.9,23618615460792.8,24843922794396.2,25254330363612.6,25040043649928,26146208559154.6,29362643739581.8,32643356885158.9,34319944353543.9,36129309624872.1,39507864793633.2,41836128989915.1,39417737715139.1,40875151491026.4
Latin America & Caribbean (all income levels),LCN,,,,,,118171177238.872,129747581570.969,132916231173.525,143354760841.714,160244068510.695,174522917280.53,195047696114.531,219363265867.557,287545251574.399,372496100724.1,390748819564.256,434519293905.744,478041327896.98,542613127066.275,645906583974.418,768817303728.972,884636707039.232,828337075735.424,735071801088.285,725859384311.38,746473390425.358,760611698927.267,800974933221.313,909213995419.572,995012732575.901,1159447592125.55,1231361914672.56,1334700023707.72,1452469806749.33,1665318187693.86,1827661258732.89,1972167753125.09,2149491577208.16,2156254589391.68,1928230644709.27,2136111453659.01,2081651306291.77,1859079515829.34,1995474115884.69,2302551037243.96,2792402709883.36,3285223845419.1,3878066882548.07,4517814460615.67,4193548024618.46,5181851228628.24
Latin America & Caribbean (developing only),LAC,,,,,,114004736886.912,125235900492.419,127873662320.595,137752030334.194,153998143233.821,167600888592.305,187328328869.653,210660284214.048,277723661663.218,361142415859.439,378436953446.794,421230501562.379,462988329379.656,525609307642.965,625687093847.628,744685659620.412,858023074081.141,799597108833.428,705764417772.192,694237112496.405,713751133243.937,728469634845.386,766402525278.928,872316865842.391,955595220989.342,1116506863041.84,1186365282009.18,1287104793353.4,1403144043811.69,1612153078012.28,1770556566105.52,1911377105644.59,2084674901362.97,2084408155965.57,1851581310713.15,2054022015046.62,1991947931992.53,1776571526165.21,1905712531061.35,2200167440178.78,2669107191215.72,3141727359667.6,3709862112138.45,4321484146174.31,4016454921351.77,4969416111290.46
Least developed countries: UN classification,LDC,,,,,,,,,,,,,,,,,,,,,120212892936.082,120743576929.613,120948880733.035,113098567620.104,113737737884.471,123261340427.298,133742178769.099,147282483696.412,150591108499.899,152485211982.639,158402338828.731,162241364887.73,147790796697.535,145503976934.276,135440331189.172,154859499390.307,165182113655.561,175579414406.279,176214063851.66,177773847085.8,185541031381.618,187601453830.415,202097313845.183,228472650910.449,268883683062.102,315382328108.358,368612924310.701,444203558154.42,553564327667.726,549093114635.423,603454926576.9
Low & middle income,LMY,344847977726.452,310314933476.016,313134360313.938,344329279143.798,379187275917.186,455094103690.663,472299116628.582,484072869664.73,512207623622.772,572837241750.528,626701481240.825,677882691760.377,758143745142.58,963225638578.816,1220502458271.27,1335206378952.8,1444978030815.29,1630407166655.07,1776575440315.47,2114593145326.02,2467619657356.79,2656919005225.41,2626116020239.13,2565086787504.24,2602210441084.84,2735465175645.86,2855430165169.9,2940840716275.09,3176570683773.85,3381806258139.19,3693707404160.16,3741934815324.36,3865135450958.55,4054687032984.83,4390109050531.58,4971360127494.94,5411919841782.32,5722933060473.53,5533696416632.54,5381619603849.91,5872118387398.09,5925201666212.22,6044521106045.86,6904325231118.76,8217792384906.66,9761879070051.5,11602170756313.8,14351004126640.7,17177332076748.2,16687150869889.5,19997433579595.7
Low income,LIC,22918460070.0079,23698406982.0355,25552687454.8526,30451343619.3833,26407564232.5462,30613098069.4193,33725480880.331,34172841848.9258,35632269096.4255,39856170328.7071,41545724923.583,44335164923.7058,43260095156.7658,52751621466.9748,66466789176.0094,83515861465.7574,69552168703.8013,77721534668.2284,93056181910.5332,103582991357.27,112665722603.389,111959060116.728,113005751074.145,105936340059.06,103666182152.863,108375991309.671,117355157108.224,124379662629.076,134352765450.205,134985548584.198,144164613931.337,145353810597.967,138116415677.254,131604888473.829,121968668543.801,139655040291.761,156105724309.738,162782710492.225,166349955979.872,165223166305.412,164799150333.392,165890328851.336,174503007315.215,192047334230.675,215504106025.568,238035761504.588,260313951197.357,305657367649.827,363879925992.954,383919622961.061,413912655892.408
Lower middle income,LMC,84388781537.5477,74699058930.2136,73207772923.848,80360318805.9224,91020067773.0443,124042318103.78,111189703086.464,117932456103.287,126912055671.189,141328732206.653,155675243489.088,162809208837.667,178484732248.822,212556064660.837,275551932666.88,300827832686.37,340623687006.406,393064958694.935,440359184529.453,509298055348.25,631724009577.845,647522027333.364,657408025333.677,645911305571.659,645467837057.147,674041373605.346,694004511666.751,763267286368.813,797420959640.462,815027266183.974,870763216745.432,842407065317.943,838803069092.612,883574133689.847,956503698479.607,1067253833338.28,1166530715575.53,1204069713450.25,1080779207633.75,1180124362473.76,1258729037432.26,1267314858431.16,1359158737444.35,1560739493526.68,1815188216738.28,2103820248332.88,2514315550326.64,3108759090603.4,3498553541378.37,3576031562132.91,4312019582699.49
Middle East & North Africa (all income levels),MEA,,,,,,,,,36415546932.093,40550762438.7984,44770508617.448,52299025713.1763,64376688153.7422,86373070232.5767,159717498154.56,176986261583.86,218444705746.249,252705736945.431,271003140808.783,353772075328.207,449813367137.99,464720470602.645,461951893313.291,468300070735.139,475326109643.095,483145409198.258,491273080906.531,450636636881.18,440621601458.995,456490717632.718,507863415318.149,507839093518.78,553000051001.929,556280499992.558,577840878609.172,655653859070.332,739794439312.678,765746628326.805,748813201266.004,802250766324.976,902280868321.911,893322017756.251,892367574886.641,1003766862020.73,1160180518303.47,1388279136518.24,1627086852729.9,1924304834802.55,2409530265869.72,2150117953060.86
Middle East & North Africa (developing only),MNA,,,,,,18639663676.768,19290718369.6406,20702134546.7107,23029791644.0276,25794737205.588,28317956786.9052,32456083666.9646,39261346878.7216,51733545370.1553,78809734628.6753,92121187123.4802,111543457987.945,129546272802.115,140352814702.956,173167622285.948,200775575972.89,195618495032.649,222143901078.183,248748685807.628,262564369717.361,284232872903.333,311433526215.788,263803348599.319,245702364026.041,246730395466.68,265377720861.814,246650536566.113,267264375116.789,270991764732.225,276725766400.505,315651481424.615,363141324584.34,373685081216.798,384372503128.774,406556283161.699,431288827635.735,434415264442.811,425245292395.699,473816358564.364,546288763635.123,630995601394.316,739795076898.17,901154090375.684,1118979559710.43,1068480880067.41
Middle income,MIC,323680818599.348,287964386085.522,288828839760.759,315087200781.378,354602474745.879,426743132038.499,441161561090.531,452504809524.117,479265204697.153,535990089845.196,588188686496.554,636747043956.966,717611494533.862,913642483067.199,1158000033699.35,1257604097655.01,1378784869960.88,1556364895767.1,1688755434500,2016189812272.43,2359793227400.74,2549089308745.75,2517364066041.87,2462978638017.44,2502148159781.61,2630832562125.39,2742339879392.47,2821078444302.87,3047205768454.92,3251618051322.43,3554131113331.33,3601110697180.04,3729935876868.12,3924242076048.49,4266587893687.37,4830158746114.71,5254691691293.71,5558647580686.49,5367169304348.69,5216715255622.15,5705459808999.39,5757707026597.66,5869004403028.62,6710280913647.42,7998395047061.89,9517084950207.26,11331148534355.1,14030167472779.9,16795049591233.7,16289843368880.7,19561721090322.6
